Manuscript Figure,Output Filename,Output Directory,Description,Script,Pipeline Step
Fig. 1,fig1_demand_curves.png/.pdf,outputs/figures/manuscript/,"Annual material demand 2026-2050: 12-panel grid, median + 95% CI + IQR bands across 61 scenarios",visualizations/manuscript_fig1.py,9
Fig. 1 (log),fig1_demand_curves_log.png/.pdf,outputs/figures/manuscript/,"Single-panel log-scale overlay of all 12 materials with uncertainty bands",visualizations/manuscript_fig1.py,9
Fig. 1 (cumulative),fig1_cumulative_demand.png/.pdf,outputs/figures/manuscript/,"Horizontal bar chart: cumulative demand 2026-2050 with 95% error bars",visualizations/manuscript_fig1.py,9
Fig. 2 (bar),fig2_technology_breakdown.png/.pdf,outputs/figures/manuscript/,"Stacked horizontal bar chart: material demand by technology (top 15 materials)",visualizations/manuscript_figures.py,8
Fig. 2 (pies),fig2_technology_pies.png/.pdf,outputs/figures/manuscript/,"Pie charts: technology contribution to demand per material",visualizations/manuscript_figures.py,8
Fig. 3,fig3_demand_sourcing.png/.pdf,outputs/figures/clustering/supply_chain/,"Peak demand allocated by CRC sourcing category with US production/consumption baselines",clustering/supply_chain_analysis.py,7
Fig. 4 (median),fig4_reserve_adequacy.png/.pdf,outputs/figures/clustering/supply_chain/,"Reserve coverage ratio by CRC category (global reserves / cumulative demand, median scenario)",clustering/supply_chain_analysis.py,7
Fig. 4 (max),fig4_reserve_adequacy_max.png/.pdf,outputs/figures/clustering/supply_chain/,"Reserve coverage ratio (max-demand scenario) with scenario name annotations",clustering/supply_chain_analysis.py,7
Fig. 4b (US),fig4_reserve_adequacy_us.png/.pdf,outputs/figures/clustering/supply_chain/,"US-only reserve adequacy, color-coded by adequacy level (red/orange/green)",clustering/supply_chain_analysis.py,7
Fig. S1 (capacity),figs1_capacity_mid_case.png/.pdf,outputs/figures/manuscript/,"Stacked area: US electricity generation capacity by technology (Mid_Case)",visualizations/manuscript_figures.py,8
Fig. S1 (additions),figs1_additions_mid_case.png/.pdf,outputs/figures/manuscript/,"Stacked bar: annual capacity additions by technology (Mid_Case)",visualizations/manuscript_figures.py,8
Fig. S3 (overview),figs3_intensity_distributions.png/.pdf,outputs/figures/manuscript/,"Violin/box plots: material intensity distributions (t/GW) across literature sources",visualizations/manuscript_figures.py,8
Fig. S3 (by tech),figs3_intensity_{material}_by_tech.png/.pdf,outputs/figures/manuscript/,"Box plots: intensity variation by technology for Copper/Steel/Aluminum/Silicon/Neodymium/Dysprosium",visualizations/manuscript_figures.py,8
Fig. SI (production),figSI_production_shares_crc.png/.pdf,outputs/figures/clustering/supply_chain/,"Global production distribution (%) by Country Risk Classification category",clustering/supply_chain_analysis.py,7
