,FA1,FA2,FA3,FA4
total_cumulative_demand,0.837869567025909,-0.3286793986142725,0.42970495788637403,-0.0584519197554134
peak_demand,0.9420511792902104,0.21361310979416284,-0.12492410510790432,0.05083379104914288
mean_demand_early,0.9752474073209724,0.19961848130780907,-0.09387865237547753,0.002995406546857645
year_of_peak,0.38536856281339255,0.2774454331914127,-0.332445654544709,-0.07932172010345855
demand_slope,-0.430959796840055,-0.6734966326352944,0.5712188081583016,-0.03939672835688848
temporal_concentration,0.4168127050650712,0.6698428360445086,-0.41101217610526136,0.05969861044502755
mean_cv,0.24866154734657395,-0.9523315255192866,-0.172609474011096,-0.011484126951976899
mean_ci_width,0.2825586683933399,-0.9341457484834574,-0.2158907969098738,0.004947314685603187
solar_fraction_2035,0.5906133332692287,0.3627260047210169,0.07545371760978202,0.433304344344973
wind_fraction_2035,0.8776906015745692,0.1999044951134327,-0.2782551029554584,-0.07953344459154371
storage_fraction_2035,0.2568814104169451,0.44921787768541716,-0.23998751617963374,0.19705733224990263
supply_chain_stress,-0.45130075079597964,-0.11615985155959316,-0.08348414482917413,0.8652234155548965
peak_supply_chain_stress,-0.12694989622136624,0.1823270285739048,-0.28624175043061095,0.6092778114758892
mean_n_exceeding_production,0.06911456550039437,-0.6073561981983829,-0.13585070409014077,0.06332787881596466
total_import_exposed_demand,0.75274724143438,-0.4094031728156012,0.5127010165529239,0.04146025810257923
