,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
total_cumulative_demand,0.22533667556077258,0.3784146066843696,-0.10555869686024558,-0.15412955676475293,-0.240284369366917,0.1819432451336789,0.06072198101737027,0.14954050329334617,0.09078504480923053,-0.10964921869205371,-0.004220066352064359,-0.22402871783319553,-0.03518055082737864,0.7632182825589839,0.0051377762186245535
peak_demand,0.39949011248700017,0.10939293855121257,0.1065683185610419,0.014441852271365315,-0.07531616730708728,0.06392154292955327,-0.12095711013964819,0.11081601269153957,-0.33459635404237303,-0.1799829505410763,0.4076951727210749,0.6539396951062465,-0.20431537739393255,-0.006936799661545312,0.014567346463247456
mean_demand_early,0.40756976349112833,0.1248953043209903,0.03795528447830098,0.022295799912927548,-0.08737788045718868,0.0064717466069756134,-0.053468192136088694,0.02522799317868612,-0.03021726389033933,-0.23722988188055194,-0.021831191077628227,-0.11229060942692137,0.826105636155739,-0.2275632509418835,-0.025803697300435493
year_of_peak,0.2170435317477547,-0.05394422102972953,0.13348951627846628,0.5386649701342722,0.12326349122225606,0.47570923988118935,0.5968472311089178,-0.07453448488305067,-0.07879857131108292,0.12934372679447548,-0.11928901786876972,-0.008598825786599068,-0.0380261144561845,0.0054700313179233,-0.0029696343429801908
demand_slope,-0.31764993496004834,0.25096143171200525,-0.14643409520620804,-0.20062616529869845,-0.09631124813717622,0.1795718315876475,0.2735982657822455,0.10494742829109797,0.3043091154577384,0.45955692804438075,0.32506999114216906,0.36344095940841875,0.3202385428325686,-0.05384119545763505,0.004813167895480296
temporal_concentration,0.3139027079852796,-0.2633120656282245,0.006772472824817792,0.1246331856808152,-0.15357417573425017,-0.36242613142984426,0.1586702669573242,0.010051980341737007,0.17093417434152533,0.22844597030115735,0.6346597515878936,-0.3789698221059007,-0.0889755062946982,-0.011762145786559411,-0.02157211350551236
mean_cv,-0.06677653805510919,0.42627844454895136,0.20352898020179566,0.11595808482565104,0.13093328442077778,-0.40953739789265703,0.15705220813194778,0.08047559410040284,-0.17588352697007623,0.10260979141486973,-0.07416202306616257,-0.0009773104051102957,-0.017676330586336098,0.009405855899745385,-0.7039783149716449
mean_ci_width,-0.06669548896713072,0.42457722399923553,0.2177097681040017,0.12017350114209616,0.13549414271113,-0.39794770793732875,0.1579495951992375,0.08205574346131546,-0.1764122931222342,0.0869117527374361,-0.041718834307668866,-0.05196282135531425,0.009265122900704973,-0.013913832727039032,0.7082721478192167
solar_fraction_2035,0.30332280549302665,-0.036018496137862566,0.15506108075311067,-0.5326144136250512,0.11420767731449905,0.09899209724338034,-0.0025670013044357645,-0.39009438224225257,-0.36756506075646045,0.5160862141301353,-0.11298342419843421,-0.09578925501766417,0.010701498480610562,0.020774754447235956,0.004104082705879075
wind_fraction_2035,0.3889090024440731,0.08613829134419676,0.017490550491337634,0.1306640723171146,-0.018890416204646394,-0.2521075703907394,-0.10810002528915456,-0.3283999753579978,0.6226029143235848,0.14437532560760927,-0.3300989987768646,0.334879019173538,-0.0941803393133514,0.037011105380922824,0.0260007883838192
storage_fraction_2035,0.22579870101417165,-0.18037505675313667,0.09574446421173402,-0.3357370377436547,0.6356908476901332,-0.013892390458726925,0.16892501731153653,0.5374092772216724,0.24954337732873721,-0.07976866799128006,-0.05065350118460313,0.028944487960807536,-0.023595875291651684,0.01890717497841269,-0.0006593864627704632
supply_chain_stress,-0.1866151654576832,-0.12437372476933674,0.5321328652169215,-0.3202582476736718,-0.15783679811370568,-0.06983467396458685,0.41218970876247524,-0.33927170510739796,0.1566290765245984,-0.45084626531264715,0.09595305203757924,0.08237678913468884,0.024695574673524585,0.06881560129357363,-0.006843844379459732
peak_supply_chain_stress,-0.019670310578885675,-0.17764605861005073,0.6115784148855355,0.06120248860980452,-0.4310485376670707,0.09060132876810574,-0.22378844286083044,0.46007120386321615,0.056077012707424635,0.29932494864483317,-0.20376410609935122,0.005626170163346404,0.015064132441268448,-0.0012713950969893166,0.001663340650988615
mean_n_exceeding_production,-0.08999099378444661,0.2957830874251722,0.3896662217576681,0.14582956475578301,0.38641821889120825,0.3449354859093005,-0.4431800729106187,-0.2145355627948141,0.23126879854626714,-0.004273738347749323,0.3525366768886412,-0.20450753538998123,-0.020007284957167585,-0.006991825985132987,-0.022720170563674036
total_import_exposed_demand,0.17468752213456204,0.3953047686569381,-0.07334802082177797,-0.24628905623662822,-0.2605026124561416,0.20290611804390413,0.12780043696121376,0.11496053455195637,0.15043038110819085,-0.12117968558485201,-0.06364834847102273,-0.2455282011206606,-0.3891979869859917,-0.5961296080728743,-0.010207341308978898
