material,SPC1,SPC2,SPC3,SPC4,SPC5
Aluminum,-0.0234128613831022,1.1272421087549132,-1.1063576827422616,0.26815087290472756,-0.31250967893957
Boron,-0.7225912449806884,-1.1126972094023724,-1.1063576827422616,5.276476410979584,-0.3396821341647114
Cadmium,-0.7258516883084245,-1.0498750055250794,-1.1063576827422616,-0.9669221949013797,-0.3394154928761468
Cement,5.0086350519987395,0.9017172601125898,-1.1063576827422616,0.3481777573464553,-0.33645949043143475
Chromium,-0.7037315428156008,-0.895585502108245,0.3301491015872162,0.28186878092495626,-0.32218757405321186
Copper,-0.4274807085014028,4.2191808669510715,-0.41587946213812965,0.16608411017889174,-0.31931278394420093
Dysprosium,-0.744464153406895,-1.609924531483919,3.2865348212256897,-0.9481848469232647,0.14553613470169258
Fiberglass,-0.22271903183184238,-1.1911588621807554,-1.1063576827422616,-0.9669221949013797,-0.3396821341647114
Gadium,-0.7450243485046405,-1.2346973627473155,-1.1063576827422616,-0.9669221949013797,-0.3396821341647114
Gallium,-0.7450049826023798,-1.3724282739194509,-1.1063576827422616,-0.9669221949013797,-0.3396821341647114
Germanium,-0.7394756018199629,-1.0960435331652019,-1.1063576827422616,-0.9669221949013797,-0.3396821341647114
Glass,1.4076978932576443,-1.189415588108464,-1.1063576827422616,-0.9669221949013797,-0.3396821341647114
Indium,-0.7448168369739728,-1.2514261102882143,-1.1063576827422616,-0.9669221949013797,-0.3396821341647114
Lead,-0.2972936636102184,3.39441756611683,0.37095253892633784,-0.24478936612892413,-0.32057413571607407
Magnesium,-0.7278864753091031,0.7032273230447689,-1.1063576827422616,-0.19995731110926926,-0.3396821341647114
Manganese,-0.6994773537492277,-0.4741064593416887,0.770564150389243,0.5709065852206523,-0.3396821341647114
Molybdenum,-0.7155401409161779,2.217619100647078,1.6065126276639592,-0.29812218795185785,-0.33003587713497395
Neodymium,-0.7354627858892714,-1.5181155150327315,2.134645449326829,-0.9657765089456437,7.687513808027106
Nickel,-0.7249220713859728,2.1155117780046884,-0.6865643592373082,-0.25205554034463123,-0.2761824599910728
Niobium,-0.7427393426142481,0.4024161039322083,-1.0657005468334344,0.26836382891319316,-0.3396821341647114
Praseodymium,-0.7443276488768304,-1.5890366336302955,3.0726319417213572,-0.9514515730982365,0.24232651513633183
Selenium,-0.7402447152222049,-1.2475691583040112,-1.1063576827422616,-0.9669221949013797,-0.3396821341647114
Silicon,-0.5884606588751735,-0.1274421596363344,-1.1063576827422616,0.2134463767358856,-0.2963375634936325
Silver,-0.7379064778148952,1.6866302335100725,0.30684779877450424,-0.1813728793814801,-0.3001774994496515
Steel,11.655739028773812,0.5748238981943653,-1.1063576827422616,-0.32680900944638674,-0.3302919459227723
Tellurium,-0.7435135288990391,-1.283697745387775,-1.1063576827422616,-0.9669221949013797,-0.3396821341647114
Terbium,-0.7446844638178572,-1.6138793442624335,3.9786395424889758,-0.9376150190929358,-0.026547019680341833
Tin,-0.723255052522579,-0.5251720040132934,1.1920836870557796,0.01734432835486037,-0.24288482685965598
Vanadium,-0.6866307018184785,1.1902244724952853,2.3460593531406424,0.4115807747670938,0.3186848343874485
Yttrium,-0.7449801368592796,-1.6920100423865823,-1.1063576827422616,6.001421437612432,-0.3396821341647114
Zinc,-0.43017375472072833,3.5412703291603025,0.47424627978452,0.18461273259631483,-0.22527719961859077
