scenario,material,demand_2035,avg_production,avg_consumption,avg_net_import,demand_to_production_ratio,demand_to_consumption_ratio
Mid_Case,Aluminum,2151.493042290658,2459.0,4598.0,4128.6,0.8749463368404466,0.4679193219422919
Mid_Case,Boron,0.32916695840000004,,,-575.0,,
Mid_Case,Cement,2.9707466980138877e+19,90260.0,107100.0,16666.0,329132140263005.5,277380644072258.4
Mid_Case,Chromium,56.767292324444,121.8,550.0,422.4,0.4660697235176026,0.10321325877171636
Mid_Case,Copper,3.951741579813394e+17,1005.6,1794.0,682.4,392973506345802.9,220275450379787.84
Mid_Case,Lead,4.4331178972535956e+18,1319.8,1552.0,259.2,3358931578461582.0,2856390397714945.5
Mid_Case,Magnesium,3.9733936399999994,,,52.8,,
Mid_Case,Manganese,79.62214659935002,0.0,926.0,1147.8,inf,0.0859850395241361
Mid_Case,Molybdenum,12.700445256735003,43.839999999999996,17.580000000000002,-26.3,0.28969993742552475,0.7224371590861776
Mid_Case,Nickel,4.146154199122837e+23,16.84,106.0,89.28800000000001,2.4620868165812573e+22,3.9114662255875824e+21
Mid_Case,Niobium,4.094337191000001,0.0,8.132,8.1928,inf,0.503484652115101
Mid_Case,Rare Earths,17.137388160652158,0.074,8.312000000000001,9.319399999999998,231.58632649529943,2.0617646969023284
Mid_Case,Silicon,333.6958817301935,328.0,536.0,205.6,1.0173654930798581,0.6225669435264803
Mid_Case,Silver,2.4802761459766898,3.3328,6.93,5.1518,0.7442019160995829,0.3579042057686421
Mid_Case,Steel,35589.83329969135,82980.0,95800.0,12600.0,0.42889652084467766,0.3715013914372792
Mid_Case,Tin,42.95770107800001,17.753999999999998,43.38,33.83,2.4196069098794646,0.9902651239741818
Mid_Case,Vanadium,72.143659702016,3.3153999999999995,9.440000000000001,6.131,21.760167612359297,7.642336832840677
Mid_Case,Zinc,549.6623916300005,170.2,900.6,730.8,3.2295087639835516,0.610329104630247
Mid_Case_100by2035,Aluminum,2246.2157598069425,2459.0,4598.0,4128.6,0.9134671654359262,0.48852017394670344
Mid_Case_100by2035,Boron,0.5349664399999999,,,-575.0,,
Mid_Case_100by2035,Cement,5.213627658817874e+20,90260.0,107100.0,16666.0,5776232726365914.0,4867999681435924.0
Mid_Case_100by2035,Chromium,97.32205641436397,121.8,550.0,422.4,0.7990316618584891,0.17694919348066177
Mid_Case_100by2035,Copper,3.302027360925766e+17,1005.6,1794.0,682.4,328363898262307.6,184059496149708.25
Mid_Case_100by2035,Lead,3.7960502390055654e+18,1319.8,1552.0,259.2,2876231428250921.0,2445908659153070.5
Mid_Case_100by2035,Magnesium,3.860912029999999,,,52.8,,
Mid_Case_100by2035,Manganese,157.63819760525996,0.0,926.0,1147.8,inf,0.17023563456291574
Mid_Case_100by2035,Molybdenum,20.141504141366994,43.839999999999996,17.580000000000002,-26.3,0.4594321200129333,1.1457055825578493
Mid_Case_100by2035,Nickel,7.35388829640321e+23,16.84,106.0,89.28800000000001,4.366917040619483e+22,6.937630468304915e+21
Mid_Case_100by2035,Niobium,6.999107110999998,0.0,8.132,8.1928,inf,0.8606870525086078
Mid_Case_100by2035,Rare Earths,28.959568956246823,0.074,8.312000000000001,9.319399999999998,391.3455264357679,3.4840674875176636
Mid_Case_100by2035,Silicon,324.0184875672628,328.0,536.0,205.6,0.9878612425831184,0.6045121036702664
Mid_Case_100by2035,Silver,2.4105047390054413,3.3328,6.93,5.1518,0.7232671444447435,0.34783618167466684
Mid_Case_100by2035,Steel,64797.256019757275,82980.0,95800.0,12600.0,0.7808779949356143,0.6763805430037294
Mid_Case_100by2035,Tin,41.72740634599997,17.753999999999998,43.38,33.83,2.350310146783822,0.9619042495620094
Mid_Case_100by2035,Vanadium,79.0932285056,3.3153999999999995,9.440000000000001,6.131,23.856315529227246,8.378519968813558
Mid_Case_100by2035,Zinc,973.12031091,170.2,900.6,730.8,5.717510639894242,1.080524440273151
