material,technology,intensity_t_per_mw,expected_demand_tonnes,pct_contribution_raw,elasticity
Selenium,CIGS,0.0625905555555555,20034768.981448665,100.0,1.0
Gadium,CIGS,0.00778,2490319.846056,100.0,1.0
Yttrium,onshore wind,0.001225,384663.7737775,100.0,1.0
Germanium,a-Si,0.0435,13924024.8462,100.0,1.0
Gallium,CIGS,0.0125063414634146,4003186.420037853,100.0,1.0
Zinc,onshore wind,5.5,1727061841.4499998,97.80658351586774,0.9780658351586774
Terbium,onshore wind,0.0072125,2264806.0966287497,93.82334575908676,0.9382334575908675
Niobium,onshore wind,0.0377,11838223.89503,93.08728453956472,0.9308728453956473
Fiberglass,onshore wind,8.653333333333334,2717243963.881334,92.96361535815096,0.9296361535815094
Lead,onshore wind,6.72,2110155559.0079997,92.75916318598756,0.9275916318598759
Tellurium,CdTe,0.098884909090909,31652320.255081527,92.68875038984808,0.926887503898481
Neodymium,onshore wind,0.1229474,38606866.00827085,91.74235563983696,0.9174235563983696
Cadmium,CdTe,0.081594,26117629.5011688,91.16240614944584,0.9116240614944584
Dysprosium,onshore wind,0.0134412765957446,4220711.983433744,91.14923075008925,0.9114923075008925
Praseodymium,onshore wind,0.0183733333333333,5769433.254589333,88.39350584001718,0.8839350584001717
Magnesium,utility-scale solar pv,0.0535,17124950.0982,88.21699642314721,0.882169964231472
Silver,utility-scale solar pv,0.0336312916666666,10765125.07532105,87.75536503545341,0.8775536503545343
Silicon,utility-scale solar pv,4.899933333333333,1568432033.97832,85.89729108088524,0.8589729108088524
Vanadium,offshore wind,7.0,163416983.79999998,85.22807117981615,0.8522807117981616
Boron,onshore wind,0.0026666666666666,837363.3170666667,83.67104311920583,0.8367104311920585
Tin,utility-scale solar pv,0.577,184693387.04039997,78.75724935348771,0.7875724935348771
Manganese,onshore wind,0.79,248068882.681,73.21218749944755,0.7321218749944756
Cement,Hydro,1007.20975,47645517762.2079,57.00911289940284,0.5700911289940284
Indium,CIGS,0.0280684210526315,8984491.773113683,55.34621654695857,0.5534621654695858
Chromium,a-Si,0.634,202938660.9768,51.245230542369455,0.5124523054236946
Nickel,a-Si,0.334,106910903.4168,50.5768540252816,0.505768540252816
Chromium,onshore wind,0.52649,165323779.800911,41.74687646629409,0.4174687646629409
Molybdenum,onshore wind,0.100575,31581680.8552425,41.148298505812996,0.41148298505812997
Nickel,onshore wind,0.2498153846153846,78444839.66843385,37.110276671027975,0.37110276671027975
Indium,CdTe,0.0156333333333333,5004113.14396,30.8263101225044,0.308263101225044
Molybdenum,CdTe,0.07,22406476.764,29.19377212931294,0.2919377212931294
Copper,CDTE,7.176666666666667,2297197355.852,26.269477216384463,0.2626947721638446
Copper,ASIGE,7.176666666666667,2297197355.852,26.269477216384463,0.2626947721638446
Steel,onshore wind,122.3386875,38415723438.968376,25.997395625755686,0.25997395625755687
Aluminum,utility-scale solar pv,21.86325,6998262901.578899,24.41795321305221,0.24417953213052218
Glass,CIGS,63.366666666666674,20283196346.84,24.164007482735812,0.2416400748273581
Glass,CDTE,63.366666666666674,20283196346.84,24.164007482735812,0.2416400748273581
Glass,ASIGE,63.366666666666674,20283196346.84,24.164007482735812,0.2416400748273581
Glass,utility-scale solar pv,63.366666666666674,20283196346.84,24.164007482735812,0.2416400748273581
Aluminum,ASIGE,20.69333333333333,6623781321.472,23.111332722967862,0.2311133272296787
Aluminum,CDTE,20.69333333333333,6623781321.472,23.111332722967862,0.2311133272296787
Aluminum,CIGS,20.69333333333333,6623781321.472,23.111332722967862,0.2311133272296787
Molybdenum,CIGS,0.055,17605088.886,22.937963815888743,0.22937963815888743
Cement,onshore wind,54.09383333333333,16986071892.319284,20.32428097559054,0.2032428097559054
Boron,offshore wind,0.007,163416.9838,16.328956880794152,0.16328956880794154
Vanadium,onshore wind,0.0902,28323814.19978,14.77192882018385,0.1477192882018385
Indium,a-Si,0.0070125,2244648.8329649996,13.82747333053702,0.1382747333053702
Copper,onshore wind,3.5003207264411764,1099140065.358745,12.569157295520206,0.12569157295520206
Steel,CIGS,55.95,17909176784.940002,12.1198278342819,0.12119827834281899
Steel,utility-scale solar pv,55.95,17909176784.940002,12.1198278342819,0.12119827834281899
Steel,CDTE,55.95,17909176784.940002,12.1198278342819,0.12119827834281899
Steel,ASIGE,55.95,17909176784.940002,12.1198278342819,0.12119827834281899
Magnesium,Solar Distributed,0.0535,2287352.28405,11.783003576852806,0.11783003576852805
Silver,Solar Distributed,0.0336312916666666,1437880.5945663874,11.721344208330525,0.11721344208330527
Praseodymium,offshore wind,0.03245,757554.44633,11.60649415998283,0.11606494159982829
Silicon,Solar Distributed,4.899933333333333,209492966.38677996,11.473164232357222,0.11473164232357222
Tin,Solar Distributed,0.577,24669201.269099995,10.519480241471216,0.10519480241471216
Tin,a-Si,0.071962,23034498.298442397,9.82240758747952,0.09822407587479519
Copper,utility-scale solar pv,2.614181818181818,836780059.5137454,9.568953513081343,0.09568953513081344
Copper,CdTe,2.502311666666667,800971260.220754,9.159463908378038,0.09159463908378038
Dysprosium,offshore wind,0.0175555555555555,409839.4196888889,8.850769249910753,0.08850769249910753
Neodymium,offshore wind,0.1488509756097561,3474968.2099762433,8.257644360163045,0.08257644360163045
Manganese,NGCC,0.145,27019860.7585,7.974329914663576,0.07974329914663576
Manganese,Gas,0.145,27019860.7585,7.974329914663576,0.07974329914663576
Cadmium,a-Si,0.00661,2115811.591572,7.385144797997855,0.07385144797997854
Tellurium,a-Si,0.0078,2496721.6965599996,7.311249610151898,0.07311249610151899
Fiberglass,offshore wind,8.8098,205667277.69732,7.036384641849058,0.07036384641849057
Niobium,offshore wind,0.0376569999999999,879113.3369937999,6.912715460435268,0.06912715460435269
Copper,CIGS,1.8051553846153847,577816745.4399158,6.607592417304356,0.06607592417304356
Terbium,offshore wind,0.0063866666666666,149098.54331466666,6.176654240913247,0.06176654240913246
Lead,offshore wind,5.743333333333333,134079744.32733332,5.893937454469657,0.05893937454469658
Manganese,Nuclear New,0.3429999999999999,17967971.033600003,5.3028596335001765,0.05302859633500177
Steel,Gas,41.08,7655006068.684001,5.180436640775727,0.05180436640775727
Steel,NGCC,41.08,7655006068.684001,5.180436640775727,0.05180436640775727
Nickel,Nuclear New,0.2013999999999999,10550289.69728,4.9910761661369785,0.04991076166136978
Chromium,CdTe,0.061,19525644.0372,4.930534799817881,0.04930534799817881
Steel,offshore wind,302.45475,7060891854.42615,4.778376731648031,0.047783767316480305
Molybdenum,a-Si,0.01062,3399382.6176239997,4.429112285904335,0.044291122859043346
Aluminum,Solar Distributed,21.86325,934746819.144975,3.261467083607541,0.03261467083607542
Glass,Solar Distributed,63.366666666666674,2709194200.61,3.2275479572490338,0.032275479572490336
Cement,utility-scale solar pv,7.705166666666667,2466366255.4202,2.9510719771851193,0.029510719771851192
Manganese,NGGT,0.145,9665106.7035,2.852448064148136,0.02852448064148136
Cement,CDTE,7.4135,2373005935.5702,2.839363903380227,0.028393639033802272
Cement,ASIGE,7.4135,2373005935.5702,2.839363903380227,0.028393639033802272
Cement,CIGS,7.4135,2373005935.5702,2.839363903380227,0.028393639033802272
Steel,Hydro,83.575,3953470612.23,2.675465418846787,0.02675465418846787
Silicon,a-Si,0.15,48013878.779999994,2.629544686757531,0.02629544686757531
Cement,Gas,11.11825,2071817702.608225,2.478984275172674,0.02478984275172674
Cement,NGCC,11.11825,2071817702.608225,2.478984275172674,0.02478984275172674
Nickel,CdTe,0.016,5121480.4032,2.4228433066003157,0.024228433066003155
Cement,Nuclear New,36.85288888888888,1930529562.8572447,2.30992930654771,0.0230992930654771
Molybdenum,offshore wind,0.075315,1758250.0192709998,2.290853263080985,0.022908532630809848
Aluminum,onshore wind,2.005078947368421,629617334.3808604,2.1968261023131803,0.02196826102313181
Zinc,CIGS,0.121,38731195.5492,2.193416484132254,0.02193416484132254
Chromium,offshore wind,0.35239,8226644.417326,2.07735819151858,0.020773581915185798
Copper,a-Si,0.55275,176931143.30429998,2.023286604462124,0.02023286604462124
Nickel,offshore wind,0.1773925,4141278.185534499,1.9591343405947497,0.019591343405947495
Steel,NGGT,41.08,2738224712.964,1.853061840374861,0.01853061840374861
Cement,Geothermal,393.824625,1387021264.992675,1.659607358754741,0.01659607358754741
Steel,Solar Distributed,55.95,2392100192.385,1.6188260824159335,0.016188260824159334
Copper,offshore wind,5.442890184646938,127065813.8756611,1.453054302924716,0.01453054302924716
Cadmium,CIGS,0.0013,416120.28276,1.4524490525563103,0.014524490525563103
Steel,Geothermal,544.7090000000001,1918424898.4758,1.29827181683071,0.0129827181683071
Copper,Solar Distributed,2.614181818181818,111767378.5558909,1.278109865932718,0.012781098659327179
Steel,Nuclear New,31.983666666666664,1675456548.731733,1.133845801975916,0.011338458019759159
Lead,utility-scale solar pv,0.077475,24799168.38987,1.0901329514465503,0.010901329514465506
Copper,Gas,0.49075,91448252.877475,1.0457515934898918,0.010457515934898918
Copper,NGCC,0.49075,91448252.877475,1.0457515934898918,0.010457515934898918
Copper,Hydro,1.840666666666667,87071750.8056,0.9957043386592592,0.009957043386592592
Manganese,CSP,3.85,3135323.7300000004,0.925323266309888,0.00925323266309888
Tin,CdTe,0.0066,2112610.66632,0.9008628175615578,0.009008628175615579
Cement,NGGT,11.11825,741097052.456475,0.8867420802050282,0.008867420802050281
Manganese,Coal,0.145,2964917.1960000005,0.8750314482329626,0.008750314482329626
Nickel,Gas,0.0096666666666666,1801324.0505666668,0.8521610111417595,0.008521610111417595
Nickel,NGCC,0.0096666666666666,1801324.0505666668,0.8521610111417595,0.008521610111417595
Copper,Nuclear New,1.2917999999999998,67670626.76736,0.77384382476111,0.0077384382476111
Steel,Coal,52.655,1076673896.2440002,0.7286265813801052,0.007286265813801052
Nickel,CSP,1.42,1156405.116,0.5470661165213774,0.005470661165213774
Manganese,Gas CCS,0.145,1668153.1815,0.4923194807098313,0.004923194807098313
Steel,Gas CCS,62.8525,723086881.65675,0.4893406670862197,0.004893406670862197
Silver,Nuclear New,0.001,52384.75520000001,0.4270311104334074,0.004270311104334075
Cement,Solar Distributed,7.705166666666667,329428608.85955,0.3941699793986459,0.003941699793986459
Copper,NGGT,0.49075,32711386.998225,0.3740693124503008,0.003740693124503008
Cement,Coal,14.525,297002912.22,0.3553717820573598,0.0035537178205735983
Nickel,NGGT,0.0096666666666666,644340.4469,0.3048212266843964,0.003048212266843964
Copper,Geothermal,7.333333333333333,25827458.8,0.295348520568043,0.00295348520568043
Cement,Gas CCS,16.2165,186562800.46755,0.2232272888242081,0.002232272888242081
Aluminum,Geothermal,16.165857142857142,56934955.81688572,0.1986543099160014,0.0019865430991600143
Steel,Coal CCS,75.76474999999999,280307042.56334996,0.1896945424907151,0.001896945424907151
Steel,CSP,320.0,260598336.0,0.1763569037341951,0.0017635690373419511
Nickel,utility-scale solar pv,0.00114,364905.478728,0.1726275855952725,0.001726275855952725
Manganese,Biomass,0.145,562914.2005000002,0.1661320015138849,0.0016613200151388491
Aluminum,offshore wind,1.97335,46068414.997389995,0.1607393745885068,0.0016073937458850683
Manganese,Coal CCS,0.145,536456.877,0.1583236923544229,0.001583236923544229
Cement,CSP,161.0,131113537.8,0.1568807902641615,0.0015688079026416149
Lead,Solar Distributed,0.077475,3312385.3870425,0.1456073204366025,0.0014560732043660254
Aluminum,NGCC,0.217,40436619.2041,0.1410892230980572,0.0014108922309805723
Aluminum,Gas,0.217,40436619.2041,0.1410892230980572,0.0014108922309805723
Steel,Biomass,52.0,201872678.8,0.1366149958136943,0.001366149958136943
Glass,CSP,120.0,97724376.0,0.1164221118077172,0.001164221118077172
Copper,Coal,0.49075,10034711.1306,0.1147514012005851,0.0011475140120058508
Lead,CdTe,0.0079,2528730.9490799997,0.111159087659603,0.0011115908765960303
Cement,Biomass,20.9185,81209108.29765001,0.0971688301616647,0.000971688301616647
Silver,CSP,0.0144999999999999,11808.3621,0.0962596457826486,0.0009625964578264862
Nickel,Coal,0.0096666666666666,197661.1464,0.0935085068822987,0.000935085068822987
Cement,Coal CCS,20.6965,76570894.8609,0.0916190860118185,0.0009161908601181851
Steel,Bio CCS,79.56,124033705.848,0.0839383729680883,0.000839383729680883
Copper,Gas CCS,0.58875,6773277.142124999,0.0774554476619264,0.000774554476619264
Manganese,Bio CCS,0.145,226054.39099999997,0.0667150844559877,0.000667150844559877
Cement,Bio CCS,32.005,49895660.579,0.059701467855487,0.00059701467855487
Nickel,Gas CCS,0.0096666666666666,111210.2121,0.0526107486116186,0.000526107486116186
Aluminum,NGGT,0.217,14464332.1011,0.0504681503781495,0.0005046815037814951
Aluminum,Coal,0.39475,8071731.469800001,0.0281634405780083,0.00028163440578008305
Copper,Coal CCS,0.58875,2178199.90575,0.0249086882548705,0.000249086882548705
Nickel,Solar Distributed,0.00114,48739.843062,0.0230575914053546,0.000230575914053546
Copper,Biomass,0.49075,1905173.406175,0.0217865083551838,0.00021786508355183798
Copper,CSP,2.3,1873050.54,0.0214191690410585,0.00021419169041058498
Nickel,Biomass,0.0096666666666666,37527.613366666665,0.0177533681084285,0.000177533681084285
Aluminum,Biomass,1.3,5046816.970000001,0.0176090756208222,0.00017609075620822205
Nickel,Coal CCS,0.0096666666666666,35763.7918,0.0169189485772778,0.00016918948577277802
Aluminum,CSP,5.5,4479033.9,0.0156279982258454,0.00015627998225845402
Copper,Bio CCS,0.5966666666666667,930200.8273333332,0.0106372616954506,0.000106372616954506
Aluminum,Gas CCS,0.217,2496477.5198999997,0.0087105717712607,8.710571771260702e-05
Aluminum,Hydro,0.052,2459832.1487999996,0.0085827107620962,8.582710762096203e-05
Nickel,Bio CCS,0.0096666666666666,15070.29273333333,0.0071293756888438,7.1293756888438e-05
Aluminum,Bio CCS,1.3,2026694.54,0.0070714308894716,7.071430889471601e-05
Aluminum,Nuclear New,0.0375,1964428.3200000003,0.0068541750263958,6.854175026395802e-05
Aluminum,Coal CCS,0.39475,1460457.6013499997,0.0050957481707875,5.095748170787502e-05
Cement,offshore wind,0.181,4225496.295399999,0.0050559172546455,5.0559172546455004e-05
