material,cagr,demand_2026,demand_2050,growth_factor,cv_2026,cv_2050,cv_trend
Silver,-1.394870970396278,231542.77757581405,172393.4888960206,0.7445427177687449,0,45.28553576350164,-0.01711848400495331
Magnesium,-1.4042591545068706,279703.31709789665,207835.08526172317,0.7430554897172725,0,5.008009483778655,-0.0014278608483459534
Silicon,-1.4043717907400666,25030570.58685836,18598656.688682597,0.7430376636498783,0,43.88406075852728,-0.012441382812514529
Tin,-1.404416019517718,3025541.7908999184,2248070.3258942435,0.7430306640139241,0,5.019706404223249,-0.0014519085953222544
Glass,-1.4216565494929334,384059137.8211006,284321652.6981521,0.7403069597854292,0,5.883710898441986,-0.00046867400126933477
Tellurium,-1.4562988396269794,94033.31374107816,69101.58438784933,0.7348628016887861,0,71.21275178746896,-8.203388190360387e-16
Indium,-1.4562988396269794,42469.75353661359,31209.442070948106,0.7348628016887863,0,43.29056774077796,-1.0765407324887357e-15
Selenium,-1.4562988396269905,60298.21185644019,44310.9129016476,0.7348628016887858,0,82.56573516483677,1.7047281164352517e-15
Cadmium,-1.4562988396269905,81025.41200833739,59542.561276435015,0.734862801688786,0,60.98900897344281,-2.4634799370451617e-16
Gadium,-1.4562988396269905,6532.698990404638,4800.637482678256,0.734862801688786,0,37.722505351809595,-4.619024881959677e-16
Gallium,-1.4562988396269905,9886.505324141091,7265.225001409421,0.7348628016887859,0,131.7607849960288,3.626242467330477e-15
Aluminum,-1.5230961940124188,114923679.5949704,83259082.27336095,0.7244728202820679,0,28.611546547880764,0.016948076375953906
Steel,-2.905369828261817,1087169359.3717575,585324433.0265235,0.5383930553053526,0,8.363029408536995,-0.3000358627444078
Copper,-3.0028475202549254,29695015.745910097,15653888.804628536,0.5271554303447221,0,46.76376521016442,-0.21144519610436321
Cement,-3.379343516857325,360476906.63666177,175124581.51442793,0.4858135938537183,0,12.29379798233689,-0.053153668463800686
Manganese,-3.584591365121337,3836694.411506537,1782512.4864847276,0.46459589826566267,0,1.9331179445732674,0.04537284559559896
Molybdenum,-3.8510250860869233,596838.256756103,261634.17986093025,0.4383669727925076,0,14.974475235847553,0.13907534475754968
Nickel,-4.0102845756385115,1390668.285891677,588765.4785051191,0.4233687389567606,0,30.489642967063276,-0.06435173125943328
Zinc,-4.339524329278421,26053354.82055776,10262352.10935003,0.3938975298970856,0,5.717638349979147,-0.0012586152415464953
Yttrium,-4.357529478116584,5768.5449595491355,2263.25132283388,0.3923435352770092,0,36.48480233970324,7.476661608932065e-16
Chromium,-4.426194646540016,2883676.669150385,1114456.201222649,0.3864705822067771,0,31.5641468741953,0.03987880272518585
Lead,-4.553343919302277,34127464.234245434,12825641.388179302,0.37581583267207197,0,5.837412871795498,0.016852580296943323
Neodymium,-4.58553942091865,802607.2725538699,299503.0694066231,0.3731626657874831,0,54.60779129031279,0.1745221777271593
Fiberglass,-4.638224345314168,43580176.165603176,16074959.705488732,0.36885944757094224,0,7.256559043005087,0.01882640538732879
Niobium,-4.641405518031416,193763.3895384648,71421.40499247957,0.36860113338542416,0,5.649245710899855,0.021301343633631873
Terbium,-4.642677445681631,31392.816538931824,11568.186966460227,0.3684978998973836,0,114.21755066667758,0.4636515465640201
Dysprosium,-4.900008910270371,49218.03164579182,17136.188955868845,0.348168920675112,0,116.57087951288496,0.8400440865043227
Praseodymium,-5.178126002329819,59755.44075957064,19563.955752816568,0.3274004091365209,0,108.90053704914342,1.1568907968804845
Boron,-5.467296706254221,10031.69857840311,3080.3360481274867,0.3070602674166301,0,42.53001531012801,0.5791166922864027
Vanadium,-8.916687627067743,3401125.8646311853,478451.41049191874,0.14067442062859428,0,3.7369679032392717,-0.07446302415777266
