material,total_cv,intensity_cv,scenario_cv,dominant_source
Vanadium,103.76016373347726,0,14.367626347707416,scenario
Yttrium,93.8706560733798,0,32.18422046938073,scenario
Zinc,93.70448206851988,0,32.13604098024087,scenario
Neodymium,92.3399942506534,0,30.627441351301325,scenario
Lead,92.11522973086306,0,30.581822680285097,scenario
Fiberglass,92.04076728728971,0,30.278642316150467,scenario
Chromium,92.03715223200413,0,30.91064304750161,scenario
Niobium,92.02333655374075,0,30.257711956726887,scenario
Terbium,92.01638740913499,0,30.24934753012008,scenario
Nickel,91.3931355934469,0,31.583724111824374,scenario
Manganese,91.35878347502803,0,31.80405703734936,scenario
Dysprosium,90.8410633786955,0,28.605667649965046,scenario
Praseodymium,90.05531926111144,0,26.93685097282057,scenario
Boron,89.71564706645786,0,25.318458777730317,scenario
Cement,87.70608823424261,0,30.890017390375718,scenario
Molybdenum,85.97307650235267,0,29.01817865106376,scenario
Steel,77.69951301978108,0,25.675808005120448,scenario
Copper,77.46931536323243,0,26.068950999627354,scenario
Gallium,63.978435672339515,0,24.24402318987774,scenario
Indium,63.978435672339515,0,24.244023189877748,scenario
Cadmium,63.97843567233951,0,24.24402318987774,scenario
Gadium,63.97843567233951,0,24.244023189877737,scenario
Tellurium,63.97843567233951,0,24.24402318987774,scenario
Selenium,63.978435672339494,0,24.24402318987774,scenario
Aluminum,61.74406256917737,0,22.427262927083106,scenario
Glass,61.33215091725541,0,22.24464978765436,scenario
Silver,60.443427375433565,0,21.843320680939538,scenario
Tin,60.424947957514405,0,21.813946992401334,scenario
Silicon,60.42217278196193,0,21.812036752276416,scenario
Magnesium,60.41510754217059,0,21.80717349679804,scenario
Germanium,0.0,0,0.0,scenario
