,Import Dependency,Geopolitical Risk,China Exposure,Source Concentration,Composite Risk
Molybdenum,0.0,0.2885714285714286,0.0,0.2734000000000001,0.1275814285714286
Steel,0.132,0.38,0.0,0.26239999999999997,0.19295999999999996
Cement,0.166,0.3628571428571429,0.0,0.2386,0.19444714285714287
Copper,0.386,0.07571428571428572,0.0,0.4642,0.2081442857142857
Lead,0.33399999999999996,0.22571428571428573,0.0,0.296,0.21231428571428568
Magnesium,0.3,0.3485714285714286,0.0,0.31439999999999996,0.24173142857142854
Nickel,0.508,0.26571428571428574,0.0,0.293,0.2760642857142857
Aluminum,0.46,0.29857142857142854,0.04,0.3646,0.2922614285714286
Silicon,0.386,0.5171428571428571,0.0,0.2296,0.3053828571428572
Boron,0.0,0.71,0.0,0.8138,0.33507
Zinc,0.812,0.1285714285714286,0.0,0.47200000000000003,0.3529714285714286
Silver,0.7440000000000001,0.33285714285714285,0.0,0.32199999999999995,0.3713571428571429
Vanadium,0.642,0.45,0.13,0.29240000000000005,0.40396
Tin,0.774,0.5285714285714286,0.0,0.20700000000000002,0.42182142857142857
Chromium,0.774,0.5814285714285715,0.0,0.31540000000000007,0.45393857142857147
Niobium,1.0,0.42857142857142855,0.0,0.5062000000000001,0.5045014285714285
Manganese,1.0,0.6214285714285713,0.0,0.24899999999999997,0.5237785714285714
Rare Earths,0.98,0.8085714285714286,0.74,0.5653999999999998,0.8063814285714285
Yttrium,1.0,0.9457142857142857,0.94,0.8847999999999999,0.9514342857142856
